City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Poronaysk,RU,2021-05-31 01:34:24,49.2167,143.1167,50.85,56,15,12.57
68,Ushuaia,AR,2021-05-31 01:34:03,-54.8,-68.3,29.86,93,90,64.45
69,Muros,ES,2021-05-31 01:34:25,42.7762,-9.0603,64.83,81,3,4.74
70,Nouadhibou,MR,2021-05-31 01:34:25,20.931,-17.0347,67.98,83,46,16.11
71,Puerto Ayora,EC,2021-05-31 01:34:25,-0.7393,-90.3518,73.54,87,3,5.99
72,Namibe,AO,2021-05-31 01:34:26,-15.1961,12.1522,73.31,56,85,6.04
73,Metu,ET,2021-05-31 01:34:26,8.3,35.5833,54.72,80,8,3.22
74,Sao Filipe,CV,2021-05-31 01:31:46,14.8961,-24.4956,72.41,83,52,6.93
75,Hilo,US,2021-05-31 01:32:06,19.7297,-155.09,80.8,80,75,13.8
76,Bakchar,RU,2021-05-31 01:34:26,57.0186,82.0711,67.39,58,50,4.65
77,Iquitos,PE,2021-05-31 01:32:07,-3.7481,-73.2472,77.04,94,90,4.61
78,Torbay,CA,2021-05-31 01:30:20,47.6666,-52.7314,49.48,78,75,12.66
79,West Bay,KY,2021-05-31 01:34:27,19.3667,-81.4167,82.0,81,0,1.99
80,Georgetown,MY,2021-05-31 01:29:57,5.4112,100.3354,85.93,78,20,5.75
81,Solnechnyy,RU,2021-05-31 01:34:27,50.7214,136.6319,60.98,43,54,5.12
82,Bethel,US,2021-05-31 01:34:28,41.3712,-73.414,49.51,92,100,1.01
83,Dilla,ET,2021-05-31 01:34:28,6.41,38.31,58.89,84,63,3.87
84,Geraldton,AU,2021-05-31 01:31:02,-28.7667,114.6,59.41,88,40,17.18
85,Vaini,TO,2021-05-31 01:34:28,-21.2,-175.2,73.56,88,75,2.3
86,Esperance,AU,2021-05-31 01:31:50,-33.8667,121.9,57.04,82,100,24.4
87,Victoria,HK,2021-05-31 01:30:40,22.2855,114.1577,87.96,87,100,1.01
88,Arraial Do Cabo,BR,2021-05-31 01:34:29,-22.9661,-42.0278,73.6,87,100,10.71
89,Paramonga,PE,2021-05-31 01:34:29,-10.6667,-77.8333,65.79,88,100,8.97
90,Airai,TL,2021-05-31 01:34:30,-8.9266,125.4092,71.67,56,100,1.54
91,Vila Velha,BR,2021-05-31 01:34:30,-20.3297,-40.2925,75.94,88,0,3.0
92,Yelizovo,RU,2021-05-31 01:34:30,53.1873,158.3805,48.34,66,40,11.18
93,Tuktoyaktuk,CA,2021-05-31 01:31:40,69.4541,-133.0374,44.6,53,20,6.91
94,Husavik,IS,2021-05-31 01:34:31,66.0449,-17.3389,48.11,74,66,6.38
95,Brigantine,US,2021-05-31 01:34:31,39.4101,-74.3646,53.02,98,90,15.26
96,Vostok,RU,2021-05-31 01:34:31,46.4856,135.8833,48.0,86,99,3.0
97,College,US,2021-05-31 01:34:31,64.8569,-147.8028,67.98,36,75,3.44
98,Xalpatlahuac,MX,2021-05-31 01:34:32,17.4667,-98.6167,65.28,85,62,6.78
99,Nikolsk,RU,2021-05-31 01:34:32,53.7189,46.0712,45.32,75,100,11.18
100,Candiis,PH,2021-05-31 01:34:32,8.9703,125.1842,81.55,77,100,1.54
101,Bluff,NZ,2021-05-31 01:34:33,-46.6,168.3333,49.8,88,100,20.47
102,Cape Town,ZA,2021-05-31 01:29:43,-33.9258,18.4232,57.11,90,75,1.01
103,Seoul,KR,2021-05-31 01:32:14,37.5683,126.9778,69.31,72,75,5.1
104,Kandry,RU,2021-05-31 01:34:33,54.5667,54.1167,46.94,84,25,10.09
105,Barrow,US,2021-05-31 01:33:01,71.2906,-156.7887,35.62,75,90,13.8
106,Newport,GB,2021-05-31 01:34:34,51.5877,-2.9984,54.52,84,17,7.34
107,Marrakesh,MA,2021-05-31 01:34:34,31.6315,-8.0083,64.47,88,40,12.66
108,Plouzane,FR,2021-05-31 01:34:34,48.3833,-4.6167,53.69,85,0,9.84
109,Chifeng,CN,2021-05-31 01:34:35,42.2683,118.9636,71.35,37,100,16.33
110,Dikson,RU,2021-05-31 01:34:35,73.5069,80.5464,30.22,98,100,10.27
111,Broome,US,2021-05-31 01:34:35,42.2506,-75.833,47.91,96,90,1.99
112,Pandan,PH,2021-05-31 01:34:36,14.0453,124.1694,87.03,64,72,2.57
113,Edson,CA,2021-05-31 01:30:14,53.5835,-116.4356,71.74,24,20,10.36
114,Barbacena,BR,2021-05-31 01:34:36,-21.2258,-43.7736,60.53,90,99,4.45
115,Pangnirtung,CA,2021-05-31 01:34:36,66.1451,-65.7125,31.84,99,100,0.85
116,Lebu,CL,2021-05-31 01:34:37,-37.6167,-73.65,53.91,94,100,11.25
117,Port Alfred,ZA,2021-05-31 01:30:39,-33.5906,26.891,55.99,69,100,13.96
118,Makakilo City,US,2021-05-31 01:30:48,21.3469,-158.0858,85.75,58,75,8.05
119,Burnie,AU,2021-05-31 01:31:57,-41.0667,145.9167,54.91,72,41,1.63
120,Port Elizabeth,ZA,2021-05-31 01:34:38,-33.918,25.5701,59.29,72,0,11.5
121,Severo-Kurilsk,RU,2021-05-31 01:30:50,50.6789,156.125,39.06,97,100,23.4
122,Atuona,PF,2021-05-31 01:34:38,-9.8,-139.0333,79.47,67,3,9.01
123,Baft,IR,2021-05-31 01:34:38,29.234,56.6057,70.02,16,0,4.74
124,Virginia Beach,US,2021-05-31 01:31:30,36.8529,-75.978,59.11,82,100,1.01
125,Castro,BR,2021-05-31 01:30:37,-24.7911,-50.0119,56.71,99,100,3.22
126,Tuatapere,NZ,2021-05-31 01:34:39,-46.1333,167.6833,49.82,93,100,5.53
127,Nemuro,JP,2021-05-31 01:34:39,43.3236,145.575,48.63,79,87,19.98
128,Aurangabad,IN,2021-05-31 01:34:39,19.8833,75.3333,80.73,66,65,8.34
129,Kamenka,RU,2021-05-31 01:34:40,51.3223,42.7678,53.24,95,100,9.8
130,Turukhansk,RU,2021-05-31 01:34:40,65.8167,87.9833,46.54,90,100,24.74
131,San Andres,CO,2021-05-31 01:31:00,12.5847,-81.7006,82.42,78,40,13.8
132,Villa Sandino,NI,2021-05-31 01:34:40,12.0483,-84.9936,74.68,87,4,9.62
133,Lagoa,PT,2021-05-31 01:34:41,39.05,-27.9833,62.31,87,94,10.07
134,Grindavik,IS,2021-05-31 01:31:00,63.8424,-22.4338,43.56,93,75,20.6
135,Contamana,PE,2021-05-31 01:34:41,-7.3333,-75.0167,79.12,76,100,0.4
136,Dingle,PH,2021-05-31 01:34:42,10.9995,122.6711,87.31,67,34,3.42
137,Lompoc,US,2021-05-31 01:34:42,34.6391,-120.4579,73.54,79,1,11.5
138,Biak,ID,2021-05-31 01:34:42,-0.9131,122.8766,82.0,72,100,5.14
139,Cherskiy,RU,2021-05-31 01:30:18,68.75,161.3,63.88,28,0,2.89
140,Katsuura,JP,2021-05-31 01:34:43,35.1333,140.3,76.23,63,0,13.53
141,Petawawa,CA,2021-05-31 01:30:13,45.9001,-77.3328,60.39,39,1,0.0
142,Hede,CN,2021-05-31 01:34:43,33.7681,120.2517,88.7,46,100,8.43
143,Ponta Do Sol,PT,2021-05-31 01:34:43,32.6667,-17.1,63.23,53,13,2.17
144,Sterling,US,2021-05-31 01:34:44,39.0062,-77.4286,54.39,85,40,9.22
145,Fare,PF,2021-05-31 01:34:44,-16.7,-151.0167,79.3,74,100,18.01
146,Yarensk,RU,2021-05-31 01:34:44,62.1675,49.0916,36.91,69,2,4.23
147,Bengkulu,ID,2021-05-31 01:34:45,-3.8004,102.2655,79.93,76,45,3.87
148,Iqaluit,CA,2021-05-31 01:30:16,63.7506,-68.5145,37.13,81,90,5.01
149,Hamilton,US,2021-05-31 01:31:39,39.1834,-84.5333,58.93,79,1,2.55
150,Bredasdorp,ZA,2021-05-31 01:31:00,-34.5322,20.0403,47.52,93,100,4.07
151,Manado,ID,2021-05-31 01:34:45,1.487,124.8455,84.97,79,40,1.66
152,Khatanga,RU,2021-05-31 01:34:46,71.9667,102.5,50.52,72,100,7.99
